taxonomy,drupal_internal__tid,drupal_internal__revision_id,langcode,revision_created,revision_log_message,status,name,weight,changed,default_langcode,revision_translation_affected,path,content_translation_source,content_translation_outdated,content_translation_created,corporate_body_alt_name,date,date_of_meeting_or_treaty,location_of_meeting,num_of_section_or_meet,primary_name,subordinate_name,type,unique_id,lcnaf,viaf,authority,description,other,ulan,family_name,title_and_other_words,lcgft,aat,broader,geo_alt_name,fast,geonames,language_code,Library of Congress MARC List for Languages,person_alternate_name,preferred_name_fuller_form,preferred_name_number,preferred_name_prefix,preferred_name_rest,preferred_name_suffix,primary_part_of_name,rightsstatements,external_uri,dcmi_types
taxonomy_term--corporate_body,211,211,en,2021-10-08T20:33:47+00:00,,True,"Baltimore Flying Service, Inc.",0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,"Baltimore Flying Service, Inc.",,,1a26d6af-eaf4-4479-9d49-8bf0a277bf44,,,,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,212,212,en,2021-10-08T20:33:47+00:00,,True,Baltimore Gas and Electric Company,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,Baltimore Gas and Electric Company,,,23b11c77-727f-41a6-a26c-28519afbd0f7,http://id.loc.gov/authorities/names/n84040666,http://viaf.org/viaf/122888270,http://viaf.org/viaf/122888270;viaf||http://id.loc.gov/authorities/names/n84040666;lcnaf,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,213,213,en,2021-10-08T20:33:47+00:00,,True,Baltimore Museum of Art,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,Baltimore Museum of Art,,,01f83bdb-c764-4d19-a0fb-8dfd80cce189,http://id.loc.gov/authorities/names/n79079550,http://viaf.org/viaf/139120204,http://viaf.org/viaf/139120204;viaf||http://id.loc.gov/authorities/names/n79079550;lcnaf,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,214,214,en,2021-10-08T20:33:47+00:00,,True,Baltimore Orioles (Baseball team),0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,Baltimore Orioles (Baseball team),,,e0aad625-6ea7-4dd5-9212-b4e374de5887,http://id.loc.gov/authorities/names/n79151564,http://viaf.org/viaf/124327238,http://viaf.org/viaf/124327238;viaf||http://id.loc.gov/authorities/names/n79151564;lcnaf,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,215,215,en,2021-10-08T20:33:47+00:00,,True,Baltimore sun,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,Baltimore sun,,,848fa500-e523-47d1-ab28-4ba9d7047702,http://id.loc.gov/authorities/names/no2010112182,http://viaf.org/viaf/186603738,http://viaf.org/viaf/186603738;viaf||http://id.loc.gov/authorities/names/no2010112182;lcnaf,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,216,216,en,2021-10-08T20:33:47+00:00,,True,Baltimore Symphony Orchestra,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,Baltimore Symphony Orchestra,,,607fbd9f-fdb5-4895-9e12-60e7e477dd55,http://id.loc.gov/authorities/names/n82010866,http://viaf.org/viaf/144389490,http://viaf.org/viaf/144389490;viaf||http://id.loc.gov/authorities/names/n82010866;lcnaf,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,217,217,en,2021-10-08T20:33:47+00:00,,True,Baltimore Woodwinds,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,Baltimore Woodwinds,,,f3791b53-207a-4d9b-ba41-c913d54827f7,,,,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,218,218,en,2021-10-08T20:33:47+00:00,,True,Baltimore YMCA,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,Baltimore YMCA,,,7b1ce322-31ab-4928-9939-56018a757651,http://id.loc.gov/authorities/names/n2001099210,http://viaf.org/viaf/145937451,http://viaf.org/viaf/145937451;viaf||http://id.loc.gov/authorities/names/n2001099210;lcnaf,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,219,219,en,2021-10-08T20:33:47+00:00,,True,Baltimore. Model Cities Section,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,Baltimore,Model Cities Section,,f56911d1-1c1c-4a4e-af75-d338835c60a6,http://id.loc.gov/authorities/names/n50066523,http://viaf.org/viaf/143037565,http://viaf.org/viaf/143037565;viaf||http://id.loc.gov/authorities/names/n50066523;lcnaf,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,220,220,en,2021-10-08T20:33:47+00:00,,True,"Beake-Huntington, Inc.",0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,"Beake-Huntington, Inc.",,,452a62cf-da9b-4d2a-af5f-3bb338920a7b,,,,"Location information: Springfield, MA",,,,,,,,,,,,,,,,,,,,,,
