taxonomy,drupal_internal__tid,drupal_internal__revision_id,langcode,revision_created,status,name,weight,changed,default_langcode,revision_translation_affected,path,content_translation_source,content_translation_outdated,content_translation_created,unique_id,authority,fast
taxonomy_term--subject,3475,3475,en,2021-10-08T20:37:14+00:00,True,Upper atmosphere ,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,24f1f472-5777-4364-9dfd-19ff265dc51b,http://id.worldcat.org/fast/820350;fast,http://id.worldcat.org/fast/820350
taxonomy_term--subject,3476,3476,en,2021-10-08T20:37:14+00:00,True,Upper class,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,abb760d3-13fc-4207-b37d-f0cc10335145,http://id.worldcat.org/fast/1162136;fast,http://id.worldcat.org/fast/1162136
taxonomy_term--subject,3477,3477,en,2021-10-08T20:37:14+00:00,True,Urban geography,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,632153f4-eb7b-4598-9f81-4f4fa6fd1aeb,http://id.worldcat.org/fast/1162435;fast,http://id.worldcat.org/fast/1162435
taxonomy_term--subject,3478,3478,en,2021-10-08T20:37:14+00:00,True,Urban health,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,b3384da3-ee43-4083-92e9-d772353e18af,http://id.worldcat.org/fast/1162445;fast,http://id.worldcat.org/fast/1162445
taxonomy_term--subject,3479,3479,en,2021-10-08T20:37:14+00:00,True,Urban poor--Health and hygiene,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,e294b878-8b88-40e7-b1a3-1be584ad7207,http://id.worldcat.org/fast/1162521;fast,http://id.worldcat.org/fast/1162521
taxonomy_term--subject,3480,3480,en,2021-10-08T20:37:14+00:00,True,Urban violence,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,4f502315-8be3-475d-9155-1fad6078402e,http://id.worldcat.org/fast/1162689;fast,http://id.worldcat.org/fast/1162689
taxonomy_term--subject,3481,3481,en,2021-10-08T20:37:14+00:00,True,Urban-rural migration,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,ecf51baf-3849-4022-b233-3b140bac45ee,http://id.worldcat.org/fast/1162715;fast,http://id.worldcat.org/fast/1162715
taxonomy_term--subject,3482,3482,en,2021-10-08T20:37:14+00:00,True,Urology,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,ee23352a-b494-4e01-a450-38df66c5d5ba,http://id.worldcat.org/fast/1163033;fast,http://id.worldcat.org/fast/1163033
taxonomy_term--subject,3483,3483,en,2021-10-08T20:37:14+00:00,True,Vacuum-tubes,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,59e2c5a7-584a-4cd4-9c6d-e316ba9d7ec9,http://id.worldcat.org/fast/1163637;fast,http://id.worldcat.org/fast/1163637
taxonomy_term--subject,3484,3484,en,2021-10-08T20:37:14+00:00,True,Van de Graaff generator,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,8d346fe8-1297-43e0-b75c-1bf29f75406b,http://id.worldcat.org/fast/1163990;fast,http://id.worldcat.org/fast/1163990
taxonomy_term--subject,3485,3485,en,2021-10-08T20:37:14+00:00,True,Vegetables--Quality,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,a03a833b-d5ed-4083-b8fd-0eb6d0f05cfa,http://id.worldcat.org/fast/1164851;fast,http://id.worldcat.org/fast/1164851
taxonomy_term--subject,3486,3486,en,2021-10-08T20:37:14+00:00,True,Vegetation dynamics--Research,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,836a014c-f045-4902-94b4-fe958bae2789,http://id.worldcat.org/fast/1164935;fast,http://id.worldcat.org/fast/1164935
taxonomy_term--subject,3487,3487,en,2021-10-08T20:37:14+00:00,True,Veterans--Education (Higher),0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,3f6a911f-784d-4c36-8923-51f3f8992686,http://id.worldcat.org/fast/1165730;fast,http://id.worldcat.org/fast/1165730
taxonomy_term--subject,3488,3488,en,2021-10-08T20:37:14+00:00,True,Vibration,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,7873a28c-9f0e-4a0f-9f24-5c19fc0ee4d7,http://id.worldcat.org/fast/1166160;fast,http://id.worldcat.org/fast/1166160
taxonomy_term--subject,3489,3489,en,2021-10-08T20:37:14+00:00,True,Vietnam War (1961-1975),0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,400a9f2e-88c6-4f84-988b-f0e889edd8e1,http://id.worldcat.org/fast/1431664;fast,http://id.worldcat.org/fast/1431664
taxonomy_term--subject,3490,3490,en,2021-10-08T20:37:14+00:00,True,Visual perception,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,00f00188-cc93-4017-a6a2-aa58bdb58a88,http://id.worldcat.org/fast/1168049;fast,http://id.worldcat.org/fast/1168049
taxonomy_term--subject,3491,3491,en,2021-10-08T20:37:14+00:00,True,Vitamin A,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,be8b2853-c53a-412f-963c-ca97212f1a1d,http://id.worldcat.org/fast/1168150;fast,http://id.worldcat.org/fast/1168150
taxonomy_term--subject,3492,3492,en,2021-10-08T20:37:14+00:00,True,Vitamin B complex,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,1451eed8-b44c-401f-90e4-8e1f7885ecc0,http://id.worldcat.org/fast/1168164;fast,http://id.worldcat.org/fast/1168164
taxonomy_term--subject,3493,3493,en,2021-10-08T20:37:14+00:00,True,Vitamin C deficiency,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,09c45412-5719-4948-b807-8dfefd510542,http://id.worldcat.org/fast/1168204;fast,http://id.worldcat.org/fast/1168204
taxonomy_term--subject,3494,3494,en,2021-10-08T20:37:14+00:00,True,Vitamin D in human nutrition,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,cc2857b2-93a4-492f-8d7b-e239c53dedf2,http://id.worldcat.org/fast/1168215;fast,http://id.worldcat.org/fast/1168215
taxonomy_term--subject,3495,3495,en,2021-10-08T20:37:14+00:00,True,Vitamins--Research,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,c04f33e0-de8a-4d44-8f7c-8036ef0128f3,http://id.worldcat.org/fast/1168243;fast,http://id.worldcat.org/fast/1168243
taxonomy_term--subject,3496,3496,en,2021-10-08T20:37:14+00:00,True,Vocational guidance,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,30dba925-6919-4521-b621-55c661bf0da2,http://id.worldcat.org/fast/1168579;fast,http://id.worldcat.org/fast/1168579
taxonomy_term--subject,3497,3497,en,2021-10-08T20:37:14+00:00,True,Voice--Instruction and study,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,d7a20fe6-a916-4c04-a09b-0018d4f593b0,http://id.worldcat.org/fast/1168744;fast,http://id.worldcat.org/fast/1168744
taxonomy_term--subject,3498,3498,en,2021-10-08T20:37:14+00:00,True,Volcanoes,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,d9f84320-3428-4732-a4f0-91c08793d95e,http://id.worldcat.org/fast/1168844;fast,http://id.worldcat.org/fast/1168844
taxonomy_term--subject,3499,3499,en,2021-10-08T20:37:14+00:00,True,Voluntarism,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,6f62299c-6e63-424f-82a0-f3b4a3c215c6,http://id.worldcat.org/fast/1168976;fast,http://id.worldcat.org/fast/1168976
